season,player,avg_impact,matches_played,avg_batting_z,avg_bowling_z,bowled_matches
2022.0,A Badoni,-0.17817408351272945,12,-0.47488780911136225,0.33047768752545165,2
2022.0,R Tewatia,-0.18153325344797133,15,-0.13265107647954208,-0.5280769396484194,5
2022.0,TG Southee,-0.19010483487811095,9,-0.24366785007735092,0.2642629834932269,9
2022.0,Umran Malik,-0.19297564266856276,14,-0.0864702689416577,-0.30994050953197344,14
2022.0,MR Marsh,-0.19350279055442499,8,-0.18596984166440228,0.20938384717776112,4
2022.0,Shubman Gill,-0.19416427556613786,16,-0.23359123733120332,,0
2022.0,LH Ferguson,-0.19670596552997643,13,-0.013317058043820803,-0.204312094897012,13
2022.0,KL Rahul,-0.20349088816296196,14,-0.33392425016500177,,0
2022.0,Abhishek Sharma,-0.2043209261838371,14,-0.1831941867877722,-0.07177567321064673,3
2022.0,JO Holder,-0.24239444734081025,12,-0.11889150313044196,-0.3520083036293422,12
2022.0,WP Saha,-0.2556644305667614,11,-0.5669437568158706,,0
2022.0,DR Sams,-0.25824262482420773,11,-0.25445786454915886,-0.0967533007766091,11
2022.0,Mukesh Choudhary,-0.2698677502280955,13,-0.026387677402921913,-0.2723654190906342,13
2022.0,SN Thakur,-0.2866955997884953,14,-0.13232406842596242,-0.560975492608686,14
