season,bowler,pp_balls,pp_runs,pp_wickets,pp_economy,death_balls,death_runs,death_wickets,death_economy,total_balls,total_runs,total_wickets,total_economy
2010,AA Jhunjhunwala,12.0,22.0,0.0,11.0,1.0,2.0,0.0,12.0,37,69,0.0,11.1892
2010,AB Agarkar,42.0,59.0,2.0,8.4286,24.0,39.0,0.0,9.75,133,207,4.0,9.3383
2010,AB Dinda,84.0,102.0,3.0,7.2857,19.0,23.0,3.0,7.2632,139,155,9.0,6.6906
2010,AB McDonald,24.0,38.0,2.0,9.5,24.0,50.0,2.0,12.5,84,138,5.0,9.8571
2010,AC Voges,12.0,26.0,0.0,13.0,6.0,5.0,0.0,5.0,54,76,0.0,8.4444
2010,AD Mascarenhas,24.0,41.0,2.0,10.25,0.0,0.0,0.0,0.0,48,66,4.0,8.25
2010,AD Mathews,24.0,36.0,1.0,9.0,39.0,47.0,3.0,7.2308,226,317,8.0,8.4159
2010,AG Murtaza,12.0,7.0,1.0,3.5,12.0,22.0,0.0,11.0,72,93,3.0,7.75
2010,AJ Finch,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,7,5,0.0,4.2857
2010,AN Ahmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,26,0.0,13.0
2010,AP Dole,30.0,62.0,2.0,12.4,12.0,22.0,1.0,11.0,67,114,5.0,10.209
2010,B Akhil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,0.0,6.0
2010,B Lee,43.0,63.0,0.0,8.7907,33.0,73.0,0.0,13.2727,88,154,0.0,10.5
2010,BAW Mendis,6.0,5.0,0.0,5.0,12.0,26.0,1.0,13.0,48,68,2.0,8.5
2010,BJ Hodge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,41,2.0,8.2
2010,Bipul Sharma,0.0,0.0,0.0,0.0,18.0,45.0,1.0,15.0,60,94,3.0,9.4
2010,C Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,13,0.0,13.0
2010,CH Gayle,54.0,89.0,2.0,9.8889,18.0,31.0,1.0,10.3333,96,153,4.0,9.5625
2010,CK Langeveldt,36.0,52.0,2.0,8.6667,24.0,34.0,2.0,8.5,66,92,5.0,8.3636
2010,CL White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,19,0.0,19.0
2010,CRD Fernando,54.0,70.0,2.0,7.7778,31.0,37.0,2.0,7.1613,117,142,7.0,7.2821
2010,DE Bollinger,114.0,100.0,6.0,5.2632,73.0,113.0,6.0,9.2877,187,213,12.0,6.8342
2010,DJ Bravo,42.0,59.0,0.0,8.4286,19.0,33.0,0.0,10.4211,157,231,4.0,8.828
2010,DJ Hussey,6.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,60,81,0.0,8.1
2010,DL Vettori,12.0,25.0,0.0,12.5,28.0,33.0,1.0,7.0714,70,98,2.0,8.4
2010,DP Nannes,102.0,94.0,3.0,5.5294,76.0,105.0,4.0,8.2895,208,235,7.0,6.7788
2010,DR Smith,12.0,24.0,0.0,12.0,5.0,7.0,1.0,8.4,23,36,1.0,9.3913
2010,DS Kulkarni,18.0,28.0,1.0,9.3333,6.0,12.0,0.0,12.0,24,40,1.0,10.0
2010,DW Steyn,162.0,204.0,6.0,7.5556,90.0,115.0,6.0,7.6667,354,415,15.0,7.0339
